name,appid
JoJo's Bizarre Adventure: All-Star Battle R - Digital Deluxe Edition,1205240.0
NARUTO: Ultimate Ninja STORM,495140.0
Wanderlust: Travel Stories,1051410.0
The Uncertain: Light at the end,925570.0
Move or Die,323850.0
Resident Evil 4,2109315.0
The Bookwalker: Thief of Tales,1432100.0
Vampire: The Masquerade - Shadows of New York,1279630.0
Chicken Shoot,259340.0
Prison Architect: Undead - DLC,2154010.0
Californium,402060.0
DJMAX RESPECT V,960170.0
Scarlet Nexus,775500.0
DCL - The Game,964570.0
Hearts of Iron III,25890.0
Omerta - City of Gangsters - Gold Edition,41008.0
The Walking Dead: Season One,261030.0
Chronos: Before the Ashes,967390.0
Apex Legends: 2150 Coins,1172470.0
"Warhammer 40,000: Battlesector - Necrons - DLC",1793051.0
THE LAST BLADE 2,702110.0
The Dark Eye Demonicon,243200.0
Train Valley 2 - Passenger Flow - DLC,1154780.0
Resident Evil: Revelations,222480.0
Panzer Corps 2,1072040.0
Fill Up!,405050.0
Hearts of Iron IV: Man the Guns - DLC,815460.0
Paw Paw Paw,1037910.0
Rain World: Downpour - DLC,1933390.0
My Summer Adventure: Memories of Another Life,1546060.0
Train Sim World® 2,1282590.0
Haven,983970.0
Iron Harvest Deluxe,1205240.0
Darksburg,939100.0
One Piece: Pirate Warriors 3 - Gold Edition,70503.0
Model Builder,1164250.0
Space Engineers,244850.0
Hard Truck Apocalypse: Rise Of Clans,286810.0
The Uncertain: Last Quiet Day,406970.0
Guilty Gear -Strive- Season Pass 2 - DLC,1652890.0
